Folio CFI,Empacadora,Fecha expedición, Tipo, Expedidor del CFI, Folio RPV, Expedidor del RPV, Verificación, Producto,Variedad, Transporte,Cantidad,Uni. Medida, Mpio. Origen,País Destino, Estado destino, Mpio. Destino, Regulación, Estatus, No. cajas, Referencia, Observaciones
15,David Preciado Aguilar, 2018-03-01, Internacional, Isabella Rodríguez Molina, KSDGT62-NDU62, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,10578,Kilogramos, Zapotiltic,Canadá, Quebec, Quebec, JDHS, Original,500, , 
18,Andrea Martínez Méndez, 2019-07-01, Internacional, Isabella Rodríguez Molina, DJG27-NEU76, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,10386,Kilogramos, Ameca,España, Málaga, Málaga, JJCH, Original,600, , 
19,Marco Antonio Trujillo, 2020-08-01, Internacional, Andrea López Gonzales, MSUG28-NDYT, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,10926,Kilogramos, Arandas,España, Málaga, Málaga, JJCH, Original,400, , 
20,David Preciado Aguilar, 2021-09-01, Internacional, Isabella Rodríguez Molina, NSGY-N3U5D, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,11962,Kilogramos, Zapotiltic,España, Málaga, Málaga, JJCH, Original,500, , 
39,Andrea Martínez Méndez, 2016-04-01, Internacional, Isabella Rodríguez Molina, HD6T4GF-BH762G, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,8873,Kilogramos, Tuxpan,Japón, Hokkaido, Sapporo, PRHB, Original,800, , 
41,David Preciado Aguilar, 2017-06-01, Internacional, Isabella Rodríguez Molina, FNY6-N763B, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,8974,Kilogramos, Cd. Guzmán,Japón, Hokkaido, Sapporo, PRHB, Original,100, , 
41,Marco Antonio Trujillo, 2018-05-01, Internacional, Andrea López Gonzales, FHG-FU7T3BF, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,9254,Kilogramos, Tamazula,Japón, Hokkaido, Sapporo, PRHB, Original,900, , 
72,Andrea Martínez Méndez, 2019-01-01, Internacional, Isabella Rodríguez Molina, NSD862-ND76, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,10636,Kilogramos, Ameca,Canadá, Quebec, Quebec, JDHS, Original,900, , 
73,Marco Antonio Trujillo, 2020-02-01, Internacional, Andrea López Gonzales, 7UHD-NY36, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,10972,Kilogramos, Arandas,Canadá, Quebec, Quebec, JDHS, Original,900, , 
74,David Preciado Aguilar, 2021-03-01, Internacional, Isabella Rodríguez Molina, KSDGT62-NDU62, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,11278,Kilogramos, Zapotiltic,Canadá, Quebec, Quebec, JDHS, Original,500, , 
99,Andrea Martínez Méndez, 2019-04-01, Internacional, Isabella Rodríguez Molina, HD6T4GF-BH762G, Martín Herrera Vázquez, Amenac, Persea americana,Hass, Terrestre,9873,Kilogramos, Tuxpan,Japón, Hokkaido, Sapporo, PRHB, Original,800, , 
100,Marco Antonio Trujillo, 2020-05-01, Internacional, Andrea López Gonzales, FHG-FU7T3BF, Martín Herrera Vázquez, Pamfa A.C., Persea americana,Hass, Marítimo,10254,Kilogramos, Tamazula,Japón, Hokkaido, Sapporo, PRHB, Original,100, , 
101,David Preciado Aguilar, 2021-06-01, Internacional, Isabella Rodríguez Molina, FNY6-N763B, Martín Herrera Vázquez, Siar, Persea americana,Méndez, Aéreo,10974,Kilogramos, Cd. Guzmán,Japón, Hokkaido, Sapporo, PRHB, Original,100, , 
