Folio CFI,Empacadora,Fecha expedición,Tipo,Oficial,Folio RPV,Tercero especialista,Tercería,Producto,Variedad,Transporte,Cantidad,Uni. Medida,Mpio. Origen,País Destino,Estado destino,Mpio. Destino,Puerto de entrada,Estatus,No. cajas,Referencia,Observaciones,Justificación,Id Predicción,Id Continente,Continente
3454229,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/30,Internacional,,Aguacate,,,17.028.0000,Kilogramos,Concepción De Buenos Aires. Zapotlán El Grande,Canadá,Quebec,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
3454226,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
3454225,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
3454224,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
3453843,AVO SELECT S.A. DE C.V.,2023/03/30,Internacional,-,Aguacate,,,16.830.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan,Canadá,Ontario,,,Original,,,,,3,2,América,Roberto Medina Lara,DESCONOCIDO,DESCONOCIDO
3453842,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,19.088.0000,Kilogramos,Gómez Farías,Japón,Kobe,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453841,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,17.028.0000,Kilogramos,Gómez Farías. Zapotlán El Grande,Canadá,Quebec,,,Original,,,,,3,2,América,Roberto Medina Lara,,
230027997,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,21.698.5996,Kilogramos,Gómez Farías. Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
230027993,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/30,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. San Gabriel. Tapalpa,Estados Unidos,Illinois,Chicago,,Original,,,,,4,2,América,Roberto Medina Lara,,
220076556,AVO ALZE S.P.R. DE R.L. DE C.V.,2023/03/30,Internacional,UV-100822-16-VMRE-012-290-0213-22,Aguacate,,,21.876.8008,Kilogramos,San Gabriel. Zapotlán El Grande,Estados Unidos,Texas,Laredo,,Cancelado,,,,Error en la fecha,4,2,América,Roberto Medina Lara,Yoshira López Antonio,NORMEX
3714420,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/29,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Zapotlán El Grande,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,,
3454223,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/29,Internacional,,Aguacate,,,15.952.0000,Kilogramos,Gómez Farías. Zapotlán El Grande,Canadá,Ontario,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
3454222,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/29,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Zapotlán El Grande,Canadá,Ontario,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
3454217,AVO SELECT S.A. DE C.V.,2023/03/29,Internacional,-,Aguacate,,,14.400.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías,España,Barcelona,,,Original,,,,,2,3,Europa,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
230027548,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/29,Internacional,,Aguacate,,,18.044.0000,Kilogramos,Gómez Farías. Tapalpa,Estados Unidos,Texas,Pharr,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
3714418,AVO SELECT S.A. DE C.V.,2023/03/28,Internacional,-,Aguacate,,,15.895.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. La Manzanilla De La paz. Mazamitla. Quitupan,Canadá,Ontario,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3454216,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,19.032.0000,Kilogramos,Gómez Farías. Zapotlán El Grande,Japón,Kobe,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,,
3454215,AVO PARADISE DEL SUR S.A. DE C.V. Y/O DAVID ARROYO JACOBO,2023/03/28,Internacional,,Aguacate,,,1.800.0000,Kilogramos,Zapotlán El Grande,Emiratos Árabes Unidos,Dubai,,,Original,,,,,4,1,Medio Oriente,Karen Itzel Rivera Turiján,,
3453828,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,17.628.0000,Kilogramos,Gómez Farías. Tapalpa,Canadá,Ontario,,,Original,,,,,3,2,América,Roberto Medina Lara,,
3453827,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,16.191.0000,Kilogramos,Mazamitla. San Gabriel,Canadá,Ontario,,,Original,,,,,3,2,América,Roberto Medina Lara,,
230027267,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,21.801.0000,Kilogramos,Gómez Farías. Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Roberto Medina Lara,,
230027256,FRESHJAL S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,22.600.0000,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,California,Capistrano Beach,,Original,,,,,4,2,América,Roberto Medina Lara,,
230027252,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,20.570.0000,Kilogramos,Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Roberto Medina Lara,,
230027248,FRESHJAL S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,22.600.0000,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,California,Capistrano Beach,,Original,,,,,4,2,América,,,
230027120,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/28,Internacional,,Aguacate,,,21.979.1992,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
230026999,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/28,Internacional,,Aguacate,,,21.876.8008,Kilogramos,Gómez Farías,Estados Unidos,Texas,,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
3714413,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/27,Internacional,,Aguacate,,,16.582.0000,Kilogramos,Gómez Farías. Mazamitla,Canadá,Ontario,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,,
3714412,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.260.8008,Kilogramos,Concepción De Buenos Aires. Gómez Farías. La Manzanilla De La paz. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714411,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Gómez Farías,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714410,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. La Manzanilla De La paz. Mazamitla. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714409,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714408,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.170.4004,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714407,AVO SELECT S.A. DE C.V.,2023/03/27,Internacional,-,Aguacate,,,18.351.1992,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Quitupan,Japón,Kobe,,,Original,,,,,1,4,Asia,Jessica Cuevas Domínguez,DESCONOCIDO,DESCONOCIDO
3714406,GRUPO RIVERAVO AVOCADOS PARA EL MUNDO S.A. DE C.V.,2023/03/27,Internacional,,Aguacate,,,21.120.0000,Kilogramos,Concepción De Buenos Aires. Zapotlán El Grande,Costa Rica,Costa Rica,,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
3454212,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/27,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Gómez Farías,Canadá,Calgary,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
3454211,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/27,Internacional,,Aguacate,,,17.340.0000,Kilogramos,Zapotlán El Grande,Canadá,Calgary,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
3454203,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/27,Internacional,,Aguacate,,,21.696.0000,Kilogramos,Mazamitla. Zapotlán El Grande,Japón,Chiba,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,,
3454202,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/27,Internacional,,Aguacate,,,19.116.0000,Kilogramos,Mazamitla. Zapotlán El Grande,Japón,Tokio,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,,
230026768,MEVI AGUACATES DE CALIDAD S.A. DE C.V.,2023/03/27,Internacional,,Aguacate,,,22.600.0000,Kilogramos,Concepción De Buenos Aires. Zapotiltic,Estados Unidos,Texas,Pharr,,Original,,,,,4,2,América,,,
230026610,MEVI AGUACATES DE CALIDAD S.A. DE C.V.,2023/03/27,Internacional,,Aguacate,,,23.436.0000,Kilogramos,Zapotlán El Grande,Estados Unidos,Texas,Edinburg,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
230026602,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/27,Internacional,,Aguacate,,,21.164.0000,Kilogramos,Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,,,
230026587,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/27,Internacional,,Aguacate,,,20.629.4004,Kilogramos,Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
3647738,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.952.1992,Kilogramos,Concepción De Buenos Aires. San Gabriel. Zapotlán El Grande,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647737,GRUPO RIVERAVO AVOCADOS PARA EL MUNDO S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,22.880.0000,Kilogramos,Concepción De Buenos Aires. Zapotlán El Grande,Costa Rica,Costa Rica,,,Original,,,,,4,2,América,,,
3647736,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,21.696.0000,Kilogramos,Zapotlán El Grande,Japón,Chiba,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647735,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Zapotlán El Grande,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647734,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,19.200.0000,Kilogramos,San Gabriel. Zapotlán El Grande,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647721,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,19.200.0000,Kilogramos,,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647720,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,17.899.1992,Kilogramos,Mazamitla,Canadá,Ontario,,,Original,,,,,3,2,América,Sandra Barrera Robles,,
3647719,AVO PARADISE DEL SUR S.A. DE C.V. Y/O DAVID ARROYO JACOBO,2023/03/25,Internacional,,Aguacate,,,3.796.8000,Kilogramos,Zapotlán El Grande,Emiratos Árabes Unidos,Dubai,,,Original,,,,,4,1,Medio Oriente,Sandra Barrera Robles,,
3647718,AVO PARADISE DEL SUR S.A. DE C.V. Y/O DAVID ARROYO JACOBO,2023/03/25,Internacional,,Aguacate,,,6.328.0000,Kilogramos,Zapotlán El Grande,Kuwait,Kuwait,,,Original,,,,,4,1,Medio Oriente,Sandra Barrera Robles,,
3647717,AVO PARADISE DEL SUR S.A. DE C.V. Y/O DAVID ARROYO JACOBO,2023/03/25,Internacional,,Aguacate,,,3.796.8000,Kilogramos,Zapotlán El Grande,Kuwait,Kuwait,,,Original,,,,,4,1,Medio Oriente,,,
3454185,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,1.898.4000,Kilogramos,,Panamá,Panamá,,,Original,,,,,4,2,América,,,
3454184,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,19.088.0000,Kilogramos,,Japón,Kobe,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,,
3454177,AVO SELECT S.A. DE C.V.,2023/03/25,Internacional,-,Aguacate,,,16.830.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. Mazamitla. Quitupan. Zapotlán El Grande,Canadá,Ontario,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
3454176,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/25,Internacional,,Aguacate,,,17.280.0000,Kilogramos,Gómez Farías,Canadá,Surrey,,,Original,,,,,3,2,América,Karen Itzel Rivera Turiján,,
230026303,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/25,Internacional,,Aguacate,,,21.876.8008,Kilogramos,Gómez Farías,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230026294,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Tapalpa,Estados Unidos,Nueva York,,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230026289,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.080.0000,Kilogramos,San Gabriel. Tapalpa,Estados Unidos,California,,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230026286,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Tapalpa,Estados Unidos,Texas,Pharr,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230026238,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/25,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
230026233,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/25,Internacional,,Aguacate,,,21.876.8008,Kilogramos,Gómez Farías,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Karen Itzel Rivera Turiján,,
3714399,GRUPO EMPAQUE ROQUIN S.A. DE C.V.,2023/03/24,Internacional,,Aguacate,,,17.340.0000,Kilogramos,Mazamitla. San Gabriel. Tapalpa,Canadá,Calgary,,,Original,,,,,3,2,América,Jessica Cuevas Domínguez,,
3647704,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,17.028.0000,Kilogramos,Zapotlán El Grande,Canadá,Ontario,,,Original,,,,,3,2,América,Sandra Barrera Robles,,
3647703,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Zapotlán El Grande,Canadá,Calgary,,,Original,,,,,3,2,América,Sandra Barrera Robles,,
3647702,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Mazamitla,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647700,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Gómez Farías. Mazamitla,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647699,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Gómez Farías. Mazamitla,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3647698,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,19.200.0000,Kilogramos,Gómez Farías. Mazamitla,Japón,Tokio,,,Original,,,,,1,4,Asia,Sandra Barrera Robles,,
3454170,AVO SELECT S.A. DE C.V.,2023/03/24,Internacional,-,Aguacate,,,21.696.0000,Kilogramos,Concepción De Buenos Aires. Gómez Farías. La Manzanilla De La paz. Quitupan,Japón,Kanagawa,,,Original,,,,,1,4,Asia,Karen Itzel Rivera Turiján,DESCONOCIDO,DESCONOCIDO
3453826,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/24,Internacional,,Aguacate,,,18.560.0000,Kilogramos,Gómez Farías,Japón,Tokio,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453825,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/24,Internacional,,Aguacate,,,16.830.0000,Kilogramos,Gómez Farías. Tamazula De Gordiano,Canadá,Ontario,,,Original,,,,,3,2,América,Roberto Medina Lara,,
3453824,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/24,Internacional,,Aguacate,,,18.560.0000,Kilogramos,Gómez Farías,Japón,Tokio,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453822,ELISEO MARQUEZ CHAVEZ Y/O AGUACATES D' ELISEOS S.A,2023/03/24,Internacional,,Aguacate,,,17.340.0000,Kilogramos,Gómez Farías,Canadá,Ontario,,,Original,,,,,3,2,América,Roberto Medina Lara,,
3453819,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Zapotlán El Grande,Japón,Saitama,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453818,GRUPO DG FRESH S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,19.144.0000,Kilogramos,Zapotlán El Grande,Japón,Kioto,,,Original,,,,,1,4,Asia,Roberto Medina Lara,,
3453817,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,2.531.2000,Kilogramos,,Emiratos Árabes Unidos,Dubai,,,Original,,,,,4,1,Medio Oriente,Roberto Medina Lara,,
230026101,FRESHJAL S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,18.080.0000,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Roberto Medina Lara,,
230026041,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,Hass,,18.080.0000,Kilogramos,Concepción De Buenos Aires. San Gabriel. Tapalpa,Estados Unidos,California,Fallbrook,,Original,,,,,4,2,América,Sandra Barrera Robles,,
230026039,GRUPO AGUACATERO LOS CERRITOS S. DE R.L. DE C.V.,2023/03/24,Internacional,,Aguacate,,,21.817.4004,Kilogramos,Tapalpa,Estados Unidos,Texas,Laredo,,Original,,,,,4,2,América,Jessica Cuevas Domínguez,,
